category,term,number_of_genes,number_of_genes_in_background,ncbiTaxonId,inputGenes,preferredNames,p_value,fdr,description
Function,GO.0004386,12,24,318829,"318829.MGG_02806T0,318829.MGG_03388T0,318829.MGG_04179T0,318829.MGG_04885T0,318829.MGG_04993T0,318829.MGG_05112T0,318829.MGG_05810T0,318829.MGG_06522T0,318829.MGG_07033T0,318829.MGG_07333T0,318829.MGG_07718T0,318829.MGG_16901T0","MGG_02806,MGG_03388,MGG_04179,MGG_04885,MGG_04993,MGG_05112,MGG_05810,MGG_06522,DED1,MGG_07333,MGG_07718,MGG_12894",0.00093,0.0199,helicase activity
Function,GO.0005524,15,40,318829,"318829.MGG_00748T0,318829.MGG_02806T0,318829.MGG_03388T0,318829.MGG_04179T0,318829.MGG_04885T0,318829.MGG_04993T0,318829.MGG_05112T0,318829.MGG_05810T0,318829.MGG_06522T0,318829.MGG_06562T0,318829.MGG_07033T0,318829.MGG_07333T0,318829.MGG_07718T0,318829.MGG_09535T0,318829.MGG_16901T0","MGG_00748,MGG_02806,MGG_03388,MGG_04179,MGG_04885,MGG_04993,MGG_05112,MGG_05810,MGG_06522,MGG_06562,DED1,MGG_07333,MGG_07718,MGG_09535,MGG_12894",0.0023,0.0223,ATP binding
Function,GO.0016787,21,77,318829,"318829.MGG_00748T0,318829.MGG_02806T0,318829.MGG_03388T0,318829.MGG_03670T0,318829.MGG_04179T0,318829.MGG_04885T0,318829.MGG_04926T0,318829.MGG_04993T0,318829.MGG_05112T0,318829.MGG_05810T0,318829.MGG_06362T0,318829.MGG_06522T0,318829.MGG_06979T0,318829.MGG_07033T0,318829.MGG_07333T0,318829.MGG_07718T0,318829.MGG_07955T0,318829.MGG_09535T0,318829.MGG_10171T0,318829.MGG_16901T0,318829.MGG_17533T0","MGG_00748,MGG_02806,MGG_03388,MGG_03670,MGG_04179,MGG_04885,MGG_04926,MGG_04993,MGG_05112,MGG_05810,MGG_06362,MGG_06522,MGG_06979,DED1,MGG_07333,MGG_07718,MGG_07955,MGG_09535,MGG_10171,MGG_12894,MGG_00113",0.0083,0.0444,hydrolase activity
Function,GO.0017111,15,29,318829,"318829.MGG_00748T0,318829.MGG_02806T0,318829.MGG_03388T0,318829.MGG_04179T0,318829.MGG_04885T0,318829.MGG_04993T0,318829.MGG_05112T0,318829.MGG_05810T0,318829.MGG_06362T0,318829.MGG_06522T0,318829.MGG_07033T0,318829.MGG_07333T0,318829.MGG_07718T0,318829.MGG_09535T0,318829.MGG_16901T0","MGG_00748,MGG_02806,MGG_03388,MGG_04179,MGG_04885,MGG_04993,MGG_05112,MGG_05810,MGG_06362,MGG_06522,DED1,MGG_07333,MGG_07718,MGG_09535,MGG_12894",0.00017,0.0178,nucleoside-triphosphatase activity
Function,GO.0032555,17,46,318829,"318829.MGG_00748T0,318829.MGG_02806T0,318829.MGG_03388T0,318829.MGG_04179T0,318829.MGG_04885T0,318829.MGG_04993T0,318829.MGG_05112T0,318829.MGG_05810T0,318829.MGG_06362T0,318829.MGG_06522T0,318829.MGG_06562T0,318829.MGG_06979T0,318829.MGG_07033T0,318829.MGG_07333T0,318829.MGG_07718T0,318829.MGG_09535T0,318829.MGG_16901T0","MGG_00748,MGG_02806,MGG_03388,MGG_04179,MGG_04885,MGG_04993,MGG_05112,MGG_05810,MGG_06362,MGG_06522,MGG_06562,MGG_06979,DED1,MGG_07333,MGG_07718,MGG_09535,MGG_12894",0.0014,0.0209,purine ribonucleotide binding
Function,GO.0035639,17,45,318829,"318829.MGG_00748T0,318829.MGG_02806T0,318829.MGG_03388T0,318829.MGG_04179T0,318829.MGG_04885T0,318829.MGG_04993T0,318829.MGG_05112T0,318829.MGG_05810T0,318829.MGG_06362T0,318829.MGG_06522T0,318829.MGG_06562T0,318829.MGG_06979T0,318829.MGG_07033T0,318829.MGG_07333T0,318829.MGG_07718T0,318829.MGG_09535T0,318829.MGG_16901T0","MGG_00748,MGG_02806,MGG_03388,MGG_04179,MGG_04885,MGG_04993,MGG_05112,MGG_05810,MGG_06362,MGG_06522,MGG_06562,MGG_06979,DED1,MGG_07333,MGG_07718,MGG_09535,MGG_12894",0.0011,0.0201,purine ribonucleoside triphosphate binding
Function,GO.0043167,25,96,318829,"318829.MGG_00748T0,318829.MGG_00776T0,318829.MGG_02755T0,318829.MGG_02806T0,318829.MGG_03388T0,318829.MGG_04179T0,318829.MGG_04337T0,318829.MGG_04885T0,318829.MGG_04993T0,318829.MGG_05112T0,318829.MGG_05810T0,318829.MGG_06180T0,318829.MGG_06362T0,318829.MGG_06522T0,318829.MGG_06562T0,318829.MGG_06910T0,318829.MGG_06979T0,318829.MGG_07033T0,318829.MGG_07333T0,318829.MGG_07718T0,318829.MGG_09535T0,318829.MGG_09564T0,318829.MGG_10171T0,318829.MGG_12839T0,318829.MGG_16901T0","MGG_00748,MGG_00776,MGG_02755,MGG_02806,MGG_03388,MGG_04179,MGG_04337,MGG_04885,MGG_04993,MGG_05112,MGG_05810,MGG_06180,MGG_06362,MGG_06522,MGG_06562,MGG_06910,MGG_06979,DED1,MGG_07333,MGG_07718,MGG_09535,MGG_09564,MGG_10171,PAN1,MGG_12894",0.0069,0.0389,ion binding
InterPro,IPR000089,7,9,318829,"318829.MGG_03149T0,318829.MGG_04449T0,318829.MGG_07613T0,318829.MGG_07756T0,318829.MGG_08842T0,318829.MGG_09878T0,318829.MGG_10320T0","MGG_03149,MGG_04449,MGG_07613,MGG_07756,MGG_08842,MGG_09878,MGG_10320",0.0019,0.046,Biotin/lipoyl attachment
InterPro,IPR000426,7,7,318829,"318829.MGG_01153T0,318829.MGG_04053T0,318829.MGG_06472T0,318829.MGG_07130T0,318829.MGG_07165T0,318829.MGG_07727T0,318829.MGG_08343T0","MGG_01153,MGG_04053,MGG_06472,MGG_07130,MGG_07165,MGG_07727,MGG_08343",7e-04,0.0285,"Proteasome alpha-subunit, N-terminal domain"
InterPro,IPR000504,25,70,318829,"318829.MGG_00348T0,318829.MGG_00444T0,318829.MGG_01268T0,318829.MGG_01519T0,318829.MGG_01746T0,318829.MGG_01842T0,318829.MGG_03506T0,318829.MGG_04482T0,318829.MGG_04667T0,318829.MGG_05264T0,318829.MGG_06218T0,318829.MGG_06400T0,318829.MGG_06668T0,318829.MGG_07252T0,318829.MGG_07327T0,318829.MGG_07511T0,318829.MGG_08741T0,318829.MGG_08898T0,318829.MGG_09885T0,318829.MGG_11418T0,318829.MGG_11457T0,318829.MGG_12101T0,318829.MGG_12370T0,318829.MGG_12843T0,318829.MGG_13526T0","MGG_00348,MGG_00444,MGG_01268,MGG_01519,MGG_01746,MGG_01842,MGG_03506,MGG_04482,MGG_04667,MGG_05264,MGG_06218,MGG_06400,MGG_06668,MGG_07252,MGG_07327,MGG_07511,MGG_08741,MGG_08898,MGG_09885,MGG_11418,MGG_11457,MGG_12101,MGG_12370,MGG_12843,MGG_13526",0.00018,0.0118,RNA recognition motif domain
